COMPARISON BETWEEN DIJKSTRA AND A*
----------------------------------
1942.1094728532987 km, 995 (dijkstra), 87 (a*)
2749.4340491692924 km, 1090 (dijkstra), 195 (a*)
215.83665108136196 km, 23 (dijkstra), 7 (a*)
1949.3738565087879 km, 825 (dijkstra), 578 (a*)
1122.3347774158774 km, 654 (dijkstra), 101 (a*)
3291.6413661030574 km, 1057 (dijkstra), 112 (a*)
1755.7356361754416 km, 807 (dijkstra), 485 (a*)
1770.215845858561 km, 858 (dijkstra), 317 (a*)
2612.8218746187054 km, 639 (dijkstra), 84 (a*)
5159.327746239124 km, 669 (dijkstra), 168 (a*)
1456.7254373939454 km, 540 (dijkstra), 148 (a*)
614.4575676401543 km, 366 (dijkstra), 42 (a*)
2207.09795012566 km, 1021 (dijkstra), 355 (a*)
2228.3689300967967 km, 954 (dijkstra), 272 (a*)
665.8909086009467 km, 337 (dijkstra), 76 (a*)
728.7283563578512 km, 496 (dijkstra), 39 (a*)
827.8034395333532 km, 361 (dijkstra), 40 (a*)
924.2551109925537 km, 474 (dijkstra), 58 (a*)
1473.1441925766492 km, 367 (dijkstra), 87 (a*)
1654.6965062958009 km, 180 (dijkstra), 50 (a*)
722.2073057545447 km, 365 (dijkstra), 28 (a*)
3636.0921267347553 km, 980 (dijkstra), 240 (a*)
5222.222365978138 km, 1134 (dijkstra), 512 (a*)
1377.448041949956 km, 780 (dijkstra), 301 (a*)
1343.0732491808187 km, 732 (dijkstra), 117 (a*)
668.086703618251 km, 461 (dijkstra), 66 (a*)
631.6654723900898 km, 247 (dijkstra), 22 (a*)
2566.440400149867 km, 483 (dijkstra), 41 (a*)
3681.69272234557 km, 1149 (dijkstra), 461 (a*)
1872.5173358620095 km, 785 (dijkstra), 135 (a*)
1258.4593179825292 km, 534 (dijkstra), 55 (a*)
743.5824541822958 km, 408 (dijkstra), 128 (a*)
3111.311815178032 km, 895 (dijkstra), 189 (a*)
1213.1829934092934 km, 241 (dijkstra), 18 (a*)
2713.531705478924 km, 704 (dijkstra), 85 (a*)
1169.7657763872626 km, 532 (dijkstra), 65 (a*)
1999.0429871468245 km, 1006 (dijkstra), 661 (a*)
5024.408228012177 km, 1008 (dijkstra), 385 (a*)
1728.0057746588554 km, 443 (dijkstra), 159 (a*)
1031.513981909328 km, 582 (dijkstra), 163 (a*)
1231.780325370009 km, 540 (dijkstra), 118 (a*)
1472.1577047904188 km, 856 (dijkstra), 267 (a*)
2448.2093056942113 km, 1031 (dijkstra), 665 (a*)
1039.5841642839728 km, 518 (dijkstra), 167 (a*)
1769.068052044527 km, 735 (dijkstra), 118 (a*)
693.9128257750754 km, 327 (dijkstra), 25 (a*)
715.577984443535 km, 404 (dijkstra), 32 (a*)
2085.754948476092 km, 957 (dijkstra), 195 (a*)
1187.343217484724 km, 836 (dijkstra), 452 (a*)
863.1746678016984 km, 406 (dijkstra), 136 (a*)
3853.139241685626 km, 587 (dijkstra), 168 (a*)
2219.6604595596423 km, 979 (dijkstra), 216 (a*)
2669.496201374153 km, 1054 (dijkstra), 526 (a*)
2176.03509896937 km, 278 (dijkstra), 48 (a*)
1139.7199985714117 km, 253 (dijkstra), 73 (a*)
1203.117819666568 km, 612 (dijkstra), 199 (a*)
5406.619127409333 km, 1186 (dijkstra), 1054 (a*)
2961.0435203804564 km, 556 (dijkstra), 125 (a*)
1256.2587957212718 km, 567 (dijkstra), 121 (a*)
1722.9665460278507 km, 91 (dijkstra), 16 (a*)
2472.3195990271142 km, 691 (dijkstra), 194 (a*)
1815.8326744776846 km, 431 (dijkstra), 79 (a*)
2179.0791504061544 km, 1110 (dijkstra), 363 (a*)
2126.3543416613074 km, 679 (dijkstra), 97 (a*)
904.2304282091154 km, 125 (dijkstra), 18 (a*)
1959.8278913879697 km, 476 (dijkstra), 127 (a*)
742.0937931814635 km, 325 (dijkstra), 109 (a*)
